Code.Sec	Desc.	Name	Cr.	Ects	Instr.	Days	Hours	Course Delivery Method	Final Exam Location	Rooms	Exam	Sl.	Required for Dept.(*)	Departments
EC 48I.01 	Desc.	SPECIAL TOPICS IN ECONOMIC AND FINANCIAL INSTITUTIONS 	3 	6 	AHMET İRFAN SÖYLEMEZOĞLU 	MMM 	456 	 	 	HH Z08 | HH Z08 | HH Z08 	 	 	 	 
EC 48M.01 	Desc.	SPECIAL TOPICS IN LABOR ECONOMICS 	3 	6 	MELTEM POYRAZ 	MWW 	678 	 	 	İB 211 | İB 312 | İB 312 	 	 	 	 
EC 48T.01 	Desc.	SPECIAL TOPICS FINANCIAL MODELLING&ITS APPLICATIONS USING R 	3 	6 	MUSTAFA CAN ÖZER 	ThThTh 	91011 	 	 	HH Z04 | HH Z04 | HH Z04 	 	 	 	 
EC 48V.01 	Desc.	SPECIAL TOPICS BANKING AND FINANCE 	3 	6 	AYHAN YÜKSEL 	MMM 	789 	 	 	İB 100 | İB 100 | İB 100 	 	 	 	 
EC 501.01 	Desc.	MICRO-ECONOMICS I 	4 	8 	AYŞE MUMCU 	TTThTh 	1278 	 	 	HH 218 | HH 218 | HH 218 | HH 218 	 	 	 	 
EC 503.01 	Desc.	MACRO-ECONOMICS I 	4 	8 	MURAT KOYUNCU 	MMWW 	2334 	 	 	EF 103 | EF 103 | HH Z07 | HH Z07 	 	 	 	 
EC 521.01 	Desc.	MATHEMATICAL METHODS FOR ECONOMICS I 	4 	7 	E. ÜNAL ZENGİNOBUZ 	TTThTh 	3434 	 	 	HH 218 | HH 218 | HH Z07 | HH Z07 	 	 	 	 
EC 531.01 	Desc.	ECONOMETRICS I 	4 	8 	BURAK SALTOĞLU 	TTFF 	6734 	 	 	HH Z04 | HH Z04 | HH 120 | HH 120 	 	 	 	 
EC 579.01 	Desc.	GRADUATE SEMINAR 	0 	5 	ORHAN AYGÜN 	FF 	78 	 	 	HH 120 | HH 120 	 	 	 	 
EC 603.01 	Desc.	ADVANCED MACROECONOMICS I 	4 	11 	MELTEM POYRAZ 	MMM 	234 	 	 	HH Z07 | HH Z07 | HH Z07 	 	 	 	 
