Code.Sec	Desc.	Name	Cr.	Ects	Instr.	Days	Hours	Course Delivery Method	Final Exam Location	Rooms	Exam	Sl.	Required for Dept.(*)	Departments
EE 451.01 	Desc.	INTRODUCTION TO ROBOT CONTROL 	3 	6 	IŞIL BOZMA 	MWW 	112 	 	 	KB FOURIER-233 | KB FOURIER-233 | KB FOURIER-233 	 	 	 	 
  	 	P.S. 	  	  	IŞIL BOZMA 	M 	8 	 	 	KB FOURIER-233 	 	 	 	 
EE 453.01 	Desc.	LINEAR SYSTEM THEORY 	4 	6 	MEHMET AKAR 	TTThTh 	7834 	 	 	KB FARADAY | KB FARADAY | KB FARADAY | KB FARADAY 	 	 	 	 
EE 461.01 	Desc.	OPTICAL SYSTEMS 	3 	6 	HEBA MOHAMED YÜKSEL 	MWW 	456 	 	 	KB TESLA-123 | KB TESLA-123 | KB TESLA-123 	 	 	 	 
EE 473.01 	Desc.	INTRODUCTION TO DIGITAL SIGNAL PROCESSING 	3 	6 	MURAT SARAÇLAR 	TThTh 	256 	 	 	KB TESLA-123 | KB TESLA-123 | KB TESLA-123 	 	 	 	 
  	 	P.S. 	  	  	MURAT SARAÇLAR 	M 	7 	 	 	KB KIRCHHOFF 	 	 	 	 
EE 475.01 	Desc.	INTRODUCTION TO IMAGE PROCESSING 	3 	6 	İBRAHİM ALPAY ÖZCAN 	TTTh 	562 	 	 	KB TESLA-123 | KB TESLA-123 | KB TESLA-123 	 	 	 	 
EE 477.01 	Desc.	INTRODUCTION TO DIGITAL COMMUNICATIONS 	4 	6 	MUTLU KOCA 	MMWW 	2323 	 	 	KB FOURIER-233 | KB FOURIER-233 | KB TESLA-123 | KB TESLA-123 	 	 	 	 
EE 481.01 	Desc.	SPECIAL TOPICS INTRO TO RADAR SIGNAL PROCESSING 	3 	4 	ALİ EMRE PUSANE 	MMW 	567 	 	 	KB FARADAY | KB FARADAY | KB FARADAY 	 	 	 	 
EE 489.01 	Desc.	SPECIAL TOPICS HEALTH EFFECTS OF EM FIELDS ON HUMAN 	3 	6 	SELİM ŞEKER 	MMM 	123 	 	 	KB DAĞÖZAY-234 | KB DAĞÖZAY-234 | KB DAĞÖZAY-234 	 	 	 	 
EE 491.01 	Desc.	SPECIAL PROJECT 	3 	6 	SEMA DUMANLI OKTAR 	 	 	 	 	 	 	 	 	 
